V real;V medido;angulo
4.138;3.981;-2.299132756
4.138;3.989;-1.164041952
4.138;3.994;-1.379809154
4.138;4.003;-1.622482191
4.138;4.011;-1.61595021
4.138;4.02;-1.61595021
4.138;4.027;-1.61595021
4.138;4.037;-1.61595021
4.138;4.043;-1.609470573
4.138;4.053;-1.61595021
4.138;4.062;-3.036427115
4.138;4.062;-1.83924688
4.138;4.073;-1.36827437
4.138;4.08;-0.692250469
4.138;4.088;-0.23159374
4.138;4.086;-0.695046242
4.138;4.088;0
4.138;4.097;0.23159374
4.138;4.11;0.691035438
4.138;4.11;0.464567162
4.138;4.117;0.231417991
4.138;4.137;1.385535085
4.138;4.146;3.01074398
4.138;4.153;1.846395668
4.138;4.161;2.546138261
4.138;4.173;3.221978895
4.138;4.193;2.764969125
4.138;4.2;3.419225167
4.138;4.216;2.777258047
4.138;4.232;3.482500446
4.138;4.246;3.939929901
4.138;4.256;3.494975275
4.138;4.277;3.692194263
4.138;4.292;4.394939839
4.138;4.309;4.601829634
4.138;4.327;3.977064419
4.138;4.347;4.183400968
4.138;4.37;5.094157455
4.138;4.385;5.607016432
4.138;4.41;5.796496909
4.138;4.432;5.754387002
4.138;4.458;6.468983563
4.138;4.475;6.724230802
4.138;4.506;7.164963379
4.138;4.535;6.88165497
4.138;4.56;6.560232794
4.138;4.592;7.121750906
4.138;4.616;8.074354133
4.138;4.648;8.515640872
4.138;4.68;8.830935092
4.138;4.711;8.575559736
4.138;4.746;8.347097673
4.138;4.776;8.508710151
4.138;4.806;8.602064326
4.138;4.842;8.947845087
4.138;4.877;9.263431756
4.138;4.912;8.909331724
4.138;4.943;8.96865062
4.138;4.977;9.067201389
4.138;5.011;9.805197246
4.138;5.048;12.85844588
4.138;5.084;11.97743017
4.138;5.124;13.12993542
4.138;5.174;12.59101395
4.138;5.219;12.17174533
4.138;5.256;13.04167617
4.138;5.294;13.0205006
4.138;5.348;13.29583389
4.138;5.387;13.23041651
4.138;5.43;13.04167617
4.138;5.48;12.78170284
4.138;5.527;12.83088333
4.138;5.575;13.23041651
4.138;5.61;13.04167617
4.138;5.666;12.95663657
4.138;5.716;12.99185817
4.138;5.758;13.28120062
4.138;5.802;12.99185817
4.138;5.839;13.05624717
4.138;5.885;12.83088333
4.138;5.923;12.99185817
4.138;5.959;13.28120062
4.138;6.003;13.05624717
4.138;6.042;13.04167617
4.138;6.076;13.28120062
4.138;6.146;13.33235197
4.138;6.176;13.28120062
4.138;6.208;13.24488233
4.138;6.234;13.0062626
4.138;6.269;13.05624717
4.138;6.298;12.78170284
4.138;6.322;13.28120062
4.138;6.342;13.05624717
4.138;6.383;13.05624717
4.138;6.409;13.20097931
4.138;6.434;12.59101395
4.138;6.462;12.83088333
4.138;6.489;12.99185817
4.138;6.511;13.04167617
4.138;6.532;13.23041651
4.138;6.55;12.78170284
4.138;6.57;13.0062626
4.138;6.595;13.28120062
4.138;6.607;12.83088333
4.138;6.625;12.78170284
4.138;6.64;13.23041651
4.138;6.655;13.05624717
4.138;6.675;13.28120062
4.138;6.689;13.0062626
4.138;6.706;12.99185817
4.138;6.711;12.63957367
4.138;6.719;13.0062626
4.138;6.737;13.04167617
4.138;6.741;13.09185382
4.138;6.748;12.83088333
4.138;6.762;13.28120062
4.138;6.771;13.23041651
4.138;6.782;12.99185817
4.138;6.794;12.88042082
4.138;6.796;12.78170284
4.138;6.813;13.33235197
4.138;6.811;13.28120062
4.138;6.816;13.05624717
4.138;6.819;13.04167617
4.138;6.816;13.04167617
4.138;6.82;13.04167617
4.138;6.822;13.04167617
4.138;6.82;12.99185817
4.138;6.819;13.23041651
4.138;6.82;12.59101395
4.138;6.827;12.78170284
4.138;6.819;13.05624717
4.138;6.822;13.23041651
4.138;6.822;13.05624717
4.138;6.829;13.0062626
4.138;6.824;13.29583389
4.138;6.819;13.04167617
4.138;6.82;13.10659389
4.138;6.822;13.0062626
4.138;6.818;12.78170284
4.138;6.823;13.04167617
4.138;6.819;12.63282783
4.138;6.819;9.781838018
4.138;6.819;7.229784996
4.138;6.813;9.251498536
4.138;6.793;20.03216275
4.138;6.789;11.21650918
4.138;6.79;11.09706791
4.138;6.778;11.16205095
4.138;6.778;10.96704896
4.138;6.773;11.36615237
4.138;6.769;11.15112585
4.138;6.769;11.15112585
4.138;6.762;11.09706791
4.138;6.756;11.09706791
4.138;6.755;10.93517153
4.138;6.741;11.20560957
4.138;6.737;11.34450863
4.138;6.738;11.18335049
4.138;6.731;11.15112585
4.138;6.723;10.93517153
4.138;6.729;11.15112585
4.138;6.724;11.24949398
4.138;6.718;11.14004997
4.138;6.724;10.96704896
4.138;6.713;11.36615237
4.138;6.703;10.96704896
4.138;6.707;11.20560957
4.138;6.704;11.09706791
4.138;6.696;10.92445749
4.138;6.688;10.92445749
4.138;6.693;11.43297217
4.138;6.684;11.10801594
4.138;6.684;11.15112585
4.138;6.679;11.18335049
4.138;6.675;11.18335049
4.138;6.667;10.6867956
4.138;6.668;11.18335049
4.138;6.656;11.14004997
4.138;6.651;10.92445749
4.138;6.649;6.644720613
4.138;6.646;2.99869105
4.138;6.644;-0.231417991
4.138;6.608;2.805203042
4.138;6.565;3.694022326
4.138;6.519;2.199450316
4.138;6.494;5.542021437
4.138;6.473;5.117614755
4.138;6.445;5.100158511
4.138;6.425;4.863741858
4.138;6.411;4.863741858
4.138;6.381;4.850090156
4.138;6.361;5.079865661
4.138;6.336;5.100158511
4.138;6.32;4.84442596
4.138;6.293;5.100158511
4.138;6.269;5.097197008
4.138;6.253;5.103041542
4.138;6.227;5.097197008
4.138;6.198;5.103041542
4.138;6.193;4.869474159
4.138;6.16;5.097197008
4.138;6.141;5.097197008
4.138;6.121;5.076939348
4.138;6.104;5.097197008
4.138;6.101;5.100158511
4.138;6.089;4.883210232
4.138;6.067;5.100158511
4.138;6.054;4.850090156
4.138;6.036;5.094157455
4.138;6.018;4.869474159
4.138;5.998;5.100158511
4.138;5.985;5.100158511
4.138;5.966;5.097197008
4.138;5.951;5.355092884
4.138;5.93;4.850090156
4.138;5.912;5.097197008
4.138;5.896;5.079865661
4.138;5.878;5.100158511
4.138;5.859;5.076939348
4.138;5.845;4.863741858
4.138;5.825;5.079865661
4.138;5.807;5.059731601
4.138;5.786;4.889011726
4.138;5.777;5.097197008
4.138;5.75;5.100158511
4.138;5.729;5.097197008
4.138;5.716;4.850090156
4.138;5.701;5.100158511
4.138;5.683;5.079865661
4.138;5.669;5.100158511
4.138;5.65;4.889011726
4.138;5.628;5.31245351
4.138;5.607;5.097197008
4.138;5.596;5.561022933
4.138;5.578;5.100158511
4.138;5.56;5.094157455
4.138;5.54;5.12061201
4.138;5.529;5.117614755
4.138;5.514;5.100158511
4.138;5.493;4.889011726
4.138;5.484;5.100158511
4.138;5.465;4.617494258
4.138;5.473;4.889011726
4.138;5.487;5.100158511
4.138;5.512;5.076939348
4.138;5.518;5.097197008
4.138;5.518;5.097197008
4.138;5.517;5.079865661
4.138;5.512;5.097197008
4.138;5.515;5.079865661
4.138;5.517;5.327583349
4.138;5.512;5.097197008
4.138;5.509;5.082714397
4.138;5.511;5.12061201
4.138;5.514;4.84442596
4.138;5.512;5.306420357
4.138;5.514;5.097197008
4.138;5.515;5.306420357
4.138;5.512;5.100158511
4.138;5.512;5.076939348
4.138;5.517;5.097197008
4.138;5.515;2.574852924
4.138;5.514;4.394939839
4.138;5.514;8.483260401
4.138;5.506;4.869474159
4.138;5.504;3.738820332
4.138;5.506;10.8486603
4.138;5.504;5.105845692
4.138;5.493;5.097197008
4.138;5.501;4.620158166
4.138;5.497;4.869474159
4.138;5.497;5.082714397
4.138;5.5;5.097197008
4.138;5.495;5.079865661
4.138;5.498;5.097197008
4.138;5.493;4.850090156
4.138;5.493;5.097197008
4.138;5.495;5.076939348
4.138;5.5;4.869474159
4.138;5.49;4.8528113
4.138;5.494;3.480272556
4.138;5.491;5.2204086
4.138;5.49;2.381817285
4.138;5.48;5.360938859
4.138;5.475;3.5002467
4.138;5.475;4.8528113
4.138;5.473;4.410132618
4.138;5.469;4.392542129
4.138;5.469;4.620158166
4.138;5.468;4.872228079
4.138;5.467;4.410132618
4.138;5.462;4.641255987
4.138;5.46;4.412559265
4.138;5.461;4.620158166
4.138;5.467;4.390076943
4.138;5.455;4.410132618
4.138;5.455;4.410132618
4.138;5.454;4.392542129
4.138;5.455;4.410132618
4.138;5.451;4.641255987
4.138;5.453;4.659907468
4.138;5.442;4.643808721
4.138;5.448;4.414917308
4.138;5.45;4.638631447
4.138;5.441;4.620158166
4.138;5.445;4.410132618
4.138;5.445;4.410132618
4.138;5.435;4.638631447
4.138;5.439;4.850090156
4.138;5.437;5.082714397
4.138;5.431;4.625273762
4.138;5.431;4.641255987
4.138;5.431;0.670096795
4.138;5.427;-3.281635561
4.138;5.428;-2.281204421
4.138;5.415;-1.862236602
4.138;5.387;-2.245121801
4.138;5.357;-1.390388073
4.138;5.334;-0.92329519
4.138;5.314;-1.154062802
4.138;5.296;-0.923137888
4.138;5.275;-0.923137888
4.138;5.248;-1.154062802
4.138;5.219;-1.149436734
4.138;5.207;-0.92329519
4.138;5.187;-0.695296398
4.138;5.165;-1.154062802
4.138;5.147;-0.923137888
4.138;5.136;-0.912279257
4.138;5.113;-2.791873383
4.138;5.088;-3.842613152
4.138;5.064;0
4.138;5.039;-3.53226475
4.138;5.013;-0.91997157
4.138;4.99;-1.615727279
4.138;4.97;-1.615727279
4.138;4.948;-1.385197613
4.138;4.924;-1.61595021
4.138;4.895;-1.61595021
4.138;4.875;-1.84579675
4.138;4.853;-5.61191714
4.138;4.832;-0.919438379
4.138;4.806;-1.38960408
4.138;4.789;-1.153650995
4.138;4.768;-1.154062802
4.138;4.752;-0.92329519
4.138;4.735;-0.923137888
4.138;4.717;-0.92329519
4.138;4.696;-1.154062802
4.138;4.678;-1.153650995
4.138;4.658;-0.919593797
4.138;4.637;-1.158309404
4.138;4.616;-0.923137888
4.138;4.598;-1.154062802
4.138;4.582;-1.154062802
4.138;4.559;-0.919438379
4.138;4.545;-0.92329519
4.138;4.518;-0.919593797
4.138;4.503;-1.153650995
4.138;4.483;-0.92329519
4.138;4.464;-1.154062802
4.138;4.441;-0.923137888
4.138;4.425;-1.154062802
4.138;4.405;-1.154062802
4.138;4.384;-1.158726221
4.138;4.369;-1.158726221
4.138;4.342;-1.154062802
4.138;4.33;-0.92329519
4.138;4.307;-0.923137888
4.138;4.285;-0.92329519
4.138;4.268;-1.154062802
4.138;4.249;-1.384792972
4.138;4.235;-1.154062802
4.138;4.214;-1.158309404
4.138;4.199;-1.158726221
4.138;4.183;-0.923137888
4.138;4.183;-0.923137888
4.138;4.19;-0.923137888
4.138;4.193;-0.92329519
4.138;4.196;-0.923137888
4.138;4.187;-0.923137888
4.138;4.187;-1.154062802
4.138;4.188;-0.919438379
4.138;4.187;-0.92329519
4.138;4.186;-1.158726221
4.138;4.182;-1.154062802
4.138;4.188;-1.158309404
4.138;4.191;-1.154062802
4.138;4.186;0.450454852
4.138;4.196;-6.426645389
4.138;4.194;-7.370119508
4.138;4.19;-7.65084582
4.138;4.188;-7.884206548
4.138;4.177;-7.653039076
4.138;4.169;-6.938440517
4.138;4.14;-7.170858701
4.138;4.12;-7.394054207
4.138;4.097;-6.912470491
4.138;4.079;-7.199726917
4.138;4.056;-7.427653193
4.138;4.034;-7.368393266
4.138;4.02;-7.199726917
4.138;3.994;-7.169164496
4.138;3.979;-7.657054483
4.138;3.965;-7.170858701
4.138;3.947;-7.397905441
4.138;3.922;-7.624487005
4.138;3.897;-6.941834768
4.138;3.875;-6.459904259
4.138;3.852;-6.512062386
4.138;3.834;-6.484554308
4.138;3.812;-6.459904259
